               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.041665,             0.10715,                   0,              0.9953,             0.97134,             0.99352,             0.65843,            0.038909,             0.09379,                   0,           0.0008713,           0.0008713,           0.0008713
                  67,              0.0412,              0.1013,                   0,             0.98604,             0.97701,              0.9929,             0.71473,            0.036745,            0.089788,                   0,          0.00086932,          0.00086932,          0.00086932
                  68,            0.040756,            0.096619,                   0,             0.99398,             0.97912,             0.99316,             0.73024,             0.03657,            0.094123,                   0,          0.00086734,          0.00086734,          0.00086734
                  69,            0.040199,             0.10156,                   0,             0.98594,             0.93676,             0.98177,             0.68966,            0.038368,             0.10193,                   0,          0.00086536,          0.00086536,          0.00086536
                  70,            0.040319,              0.1005,                   0,             0.99261,             0.98913,             0.99486,             0.73484,            0.037306,            0.093377,                   0,          0.00086338,          0.00086338,          0.00086338
                  71,            0.041556,             0.10034,                   0,             0.99497,             0.97822,              0.9918,             0.74432,            0.037596,            0.092334,                   0,           0.0008614,           0.0008614,           0.0008614
                  72,            0.041962,            0.098973,                   0,             0.99002,             0.98019,              0.9924,             0.68794,             0.03885,            0.097649,                   0,          0.00085942,          0.00085942,          0.00085942
                  73,            0.042731,             0.10031,                   0,             0.98906,             0.98617,             0.99476,             0.68635,            0.039014,            0.092092,                   0,          0.00085744,          0.00085744,          0.00085744
                  74,            0.041144,             0.10225,                   0,             0.99616,             0.98024,             0.99327,             0.69596,            0.037976,            0.091474,                   0,          0.00085546,          0.00085546,          0.00085546
                  75,            0.040681,            0.097689,                   0,             0.99208,             0.99062,             0.99484,             0.73784,            0.036271,            0.091257,                   0,          0.00085348,          0.00085348,          0.00085348
                  76,            0.039107,            0.095444,                   0,             0.99396,             0.97625,             0.99218,              0.7088,            0.036984,            0.092738,                   0,           0.0008515,           0.0008515,           0.0008515
                  77,             0.04047,             0.09721,                   0,             0.99602,             0.98818,             0.99484,             0.68697,            0.038152,            0.089277,                   0,          0.00084952,          0.00084952,          0.00084952
                  78,            0.040138,            0.099418,                   0,             0.99502,             0.98749,              0.9949,             0.74962,            0.036612,            0.093026,                   0,          0.00084754,          0.00084754,          0.00084754
                  79,            0.038754,             0.09656,                   0,             0.99498,             0.97995,             0.99468,             0.73996,            0.035143,             0.09114,                   0,          0.00084556,          0.00084556,          0.00084556
                  80,            0.039243,            0.094168,                   0,             0.99217,             0.98715,             0.99476,             0.70822,             0.03757,            0.093856,                   0,          0.00084358,          0.00084358,          0.00084358
                  81,             0.03833,            0.097747,                   0,             0.98954,             0.97727,             0.99256,             0.68679,            0.040711,            0.098229,                   0,           0.0008416,           0.0008416,           0.0008416
                  82,            0.040884,             0.10046,                   0,             0.99071,             0.97925,             0.99348,             0.74402,            0.036212,             0.09225,                   0,          0.00083962,          0.00083962,          0.00083962
                  83,             0.03932,            0.097631,                   0,             0.98815,             0.98916,              0.9947,             0.73983,            0.036086,            0.092117,                   0,          0.00083764,          0.00083764,          0.00083764
